S.NO,Submitted Time,"1. Wenn ich Pläne habe, verfolge ich sie auch.",2. Normalerweise schaffe ich alles irgendwie.,3. Ich mag mich ,"4. Ich weiß, dass ich noch in der Ausbildung bin und verzeihe mir Fehler",5. Ich kann mehrere Dinge gleichzeitig bewältigen.,6. Ich finde auch in herausfordernden Situationen Dinge über die ich lachen kann.,7. Normalerweise kann ich eine Situation aus mehreren Perspektiven betrachten.,"8. Ich kann mich auch überwinden Dinge zu tun, die ich eigentlich nicht machen will.","9. In mir steckt genügend Energie um alles zu machen, was ich machen muss.","10. Ich bin mir sicher, dass ich das Studium schaffen werde.",11. Wie wichtig ist mir Achtsamkeit?,12. In stressigen Momenten auf Arbeit versuche ich bei mir zu bleiben und mein Umfeld und meine Gefühle gezielt wahrzunehmen.,"13. Ich vergesse es oft, meine eigenen Bedürfnisse (Essen, Trinken, Toilettengang) im Arbeitsalltag wahrzunehmen und zu erfüllen.",14. Am Ende meines Arbeitstages versuche ich den Tag Revue zu passieren und meinen körperlichen und emotionalen Zustand wahrzunehmen.,15. Ich mache regelmäßig eine von folgenden Achtsamkeitsübungen ,16. Falls Du in der Frage zuvor 'andere' gewählt hast. Beschreibe die Achtsamkeitsübungen Deiner Wahl,17. Hättest Du Interesse an Angeboten der Hochschule zur Achtsamkeitsförderung?
1,22-11-2024 15:08:29,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu,wichtig,stimmt manchmal zu ,stimmt meistens zu ,manchmal,Bewusstes Atmen/ Atemübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
2,22-11-2024 15:08:43,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,sehr wichtig ,stimmt manchmal zu ,stimmt zu,oft,andere ,Beten,"ich habe keinen Bedarf, aber finde es sinnvoll "
3,22-11-2024 15:15:02,stimmt meistens zu,stimmt zu,stimmt zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt meistens zu ,oft,Mehrere davon  (others),No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
4,22-11-2024 15:17:30,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt meistens zu ,wichtig,stimmt meistens zu ,stimmt zu,manchmal,"Mantras, positive Affirmationen ",No Answer,"Ja, sehr "
5,22-11-2024 15:17:52,stimmt zu ,stimmt zu,stimmt zu ,stimmt manchmal zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt manchmal zu ,oft,andere ,Yoga,es wäre mir egal
6,22-11-2024 15:33:22,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt meistens zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
7,22-11-2024 15:34:09,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt zu ,wichtig,stimmt meistens zu ,stimmt zu,oft,Tagebuch schreiben (others),Tagebuch schreiben,"Ja, sehr "
8,22-11-2024 16:00:43,stimmt meistens zu,stimmt zu,stimmt zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt zu ,wichtig,stimmt nicht zu ,stimmt nicht zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,es wäre mir egal
9,22-11-2024 16:01:52,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt manchmal zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,wichtig,stimmt manchmal zu ,stimmt nicht zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
10,22-11-2024 16:16:16,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt zu,stimmt zu ,stimmt zu,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt zu,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,es wäre mir egal
